DEPT,RILD,RILM,GR,FRES,TMP
F,,,,OHMM,DEGF
235.5,3.533,4.7866,95.817,0.249,64.319
236.0,3.4909,4.7485,95.508,0.247,64.326
236.5,3.4499,4.7124,96.798,0.246,64.332
237.0,3.408,4.8769,102.2,0.245,64.339
237.5,3.4905,5.0675,107.64,0.244,64.345
238.0,3.6572,5.2582,107.06,0.243,64.352
238.5,3.8236,5.3947,104.96,0.242,64.358
239.0,3.99,5.4393,101.02,0.241,64.365
239.5,4.1564,5.6427,92.487,0.24,64.371
240.0,4.3228,5.9269,82.388,0.239,64.378
240.5,4.4898,6.497,85.617,0.238,64.384
241.0,4.7122,7.0474,91.057,0.237,64.391
241.5,4.9438,7.5279,93.936,0.236,64.397
242.0,5.1744,7.9942,92.397,0.235,64.403
242.5,5.3234,8.3739,91.948,0.233,64.41
243.0,5.2272,8.7065,92.919,0.232,64.416
243.5,4.8862,8.6224,90.717,0.231,64.423
244.0,4.5484,8.0871,88.801,0.23,64.429
244.5,4.2045,7.2347,88.269,0.229,64.436
245.0,3.9665,6.4,87.797,0.228,64.442
245.5,3.9749,5.6949,86.794,0.227,64.449
246.0,3.9941,5.2712,90.053,0.226,64.455
246.5,4.0096,4.9858,93.356,0.225,64.462
247.0,3.9343,4.8972,100.29,0.224,64.468
247.5,3.8618,4.9066,107.6,0.223,64.475
248.0,3.8132,5.0568,110.5,0.222,64.481
248.5,3.8014,5.2124,100.75,0.221,64.487
249.0,3.7891,5.3775,97.452,0.22,64.494
249.5,3.7767,5.5245,96.602,0.219,64.5
250.0,3.7641,5.5388,108.02,0.218,64.507
250.5,3.7513,5.4758,115.92,0.218,64.512
251.0,3.7377,5.3958,118.24,0.218,64.516
251.5,3.7652,5.325,116.49,0.218,64.52
252.0,3.8038,5.4163,114.33,0.218,64.525
252.5,3.8636,5.4828,114.34,0.218,64.529
253.0,3.9381,5.4594,122.11,0.218,64.534
253.5,4.0125,5.5631,128.87,0.218,64.538
254.0,4.0931,5.7758,121.27,0.218,64.543
254.5,4.1224,5.9905,110.45,0.217,64.547
255.0,4.1523,6.161,106.76,0.215,64.551
255.5,4.1818,6.1658,109.05,0.213,64.556
256.0,4.205,6.1747,109.57,0.211,64.56
256.5,4.1468,6.1756,106.11,0.209,64.565
257.0,4.0927,6.1544,105.35,0.207,64.569
257.5,4.0386,6.1311,106.23,0.204,64.573
258.0,3.9845,6.0249,106.75,0.202,64.578
258.5,3.9302,5.9183,106.58,0.2,64.582
259.0,3.8752,5.5488,111.33,0.198,64.587
259.5,3.8152,5.1913,116.74,0.196,64.591
260.0,3.7368,4.8356,119.99,0.194,64.595
260.5,3.6604,4.5414,120.19,0.192,64.6
261.0,3.584,4.3987,120.7,0.189,64.604
261.5,3.5076,4.2504,125.49,0.187,64.616
262.0,3.4285,4.2319,121.26,0.185,64.63
262.5,3.5047,4.2667,117.83,0.183,64.643
263.0,3.5836,4.3487,121.56,0.181,64.657
263.5,3.6145,4.5746,128.37,0.179,64.67
264.0,3.6617,4.8,129.08,0.177,64.684
264.5,3.6801,5.0242,126.65,0.174,64.697
265.0,3.6814,5.0876,126.12,0.172,64.711
265.5,3.7328,5.1133,124.16,0.17,64.725
266.0,3.8643,5.1819,123.49,0.168,64.738
266.5,3.9918,5.3423,114.81,0.166,64.752
267.0,4.1184,5.3585,110.11,0.164,64.765
267.5,4.2038,5.2749,107.37,0.162,64.779
268.0,4.2733,5.3545,99.689,0.16,64.792
268.5,4.3428,5.9997,96.01,0.157,64.806
269.0,4.4123,6.5964,100.71,0.155,64.82
269.5,4.4816,7.2093,106.7,0.153,64.833
270.0,4.5505,7.2538,109.14,0.151,64.848
270.5,4.592,7.1308,103.96,0.149,64.866
271.0,4.5663,7.024,97.874,0.147,64.883
271.5,4.5419,7.2098,91.741,0.145,64.901
272.0,4.5155,7.3821,88.025,0.142,64.919
