DEPT,RILD,RILM,GR,SP,FRES,TMP
F,,,,,OHM-M,DEGF
222.5,1.5477,1.4288,56.323,-63.98,-0.019,61.837
223.0,1.5168,1.3951,57.118,-63.675,-0.06,61.863
223.5,1.4854,1.3613,53.25,-63.361,-0.102,61.889
224.0,1.4984,1.3663,51.18,-63.051,-0.143,61.915
224.5,1.5157,1.4151,54.071,-63.39,-0.184,61.941
225.0,1.5305,1.4445,55.91,-64.168,-0.226,61.967
225.5,1.5282,1.3922,56.741,-63.132,-0.267,61.992
226.0,1.5109,1.3544,60.075,-62.144,-0.309,62.018
226.5,1.4933,1.3273,63.595,-61.557,-0.35,62.044
227.0,1.4999,1.3777,64.016,-63.63,-0.391,62.07
227.5,1.5527,1.4819,63.329,-65.653,-0.419,62.096
228.0,1.6058,1.5843,64.373,-67.662,-0.42,62.122
228.5,1.6588,1.6745,66.746,-68.7,-0.42,62.147
229.0,1.7119,1.7613,65.978,-67.418,-0.421,62.178
229.5,1.7648,1.8973,64.527,-66.662,-0.422,62.211
230.0,1.8201,1.9816,63.826,-65.031,-0.422,62.244
230.5,1.8897,1.9788,63.655,-63.383,-0.423,62.277
231.0,1.8725,1.8692,64.418,-62.609,-0.424,62.311
231.5,1.8605,1.7762,66.777,-63.189,-0.424,62.344
232.0,1.7702,1.6831,69.129,-63.779,-0.425,62.377
